,TRACT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,000802,6701,3897,385,41,1353,887
1,010600,3168,2176,336,0,619,37
2,040100,2442,2369,0,0,51,0
3,040300,4665,3942,395,0,182,29
4,050400,2284,1765,39,16,72,182
5,051000,4721,2972,161,0,267,337
6,060400,5622,5266,117,0,175,64
7,060700,2557,585,955,0,181,510
8,081500,2807,454,1576,16,55,544
9,090600,2740,287,1847,5,168,388
10,091500,5192,890,2793,0,199,921
11,170200,4844,3726,384,0,111,327
12,170800,6481,5534,141,108,250,331
13,120600,2507,1810,195,0,101,288
14,130100,6807,5445,278,0,575,150
15,140202,6874,2944,2421,0,299,832
16,160300,2283,1639,155,0,45,144
17,170100,7935,6395,357,0,209,301
18,170300,9417,7603,786,0,524,286
19,180200,4330,3988,125,0,34,119
20,110501,3429,2894,97,0,43,267
21,180500,4355,4172,80,10,14,21
22,092200,3282,938,1333,1,653,238
23,091300,2676,419,1804,22,113,272
24,091700,3267,278,2175,11,298,351
25,100800,6230,3879,1518,0,550,83
26,000401,5696,4286,199,0,962,97
27,160101,8870,3513,417,0,412,973
28,160501,5854,2646,215,0,278,331
29,160502,5105,2319,400,0,85,222
30,160601,4713,2808,335,0,144,495
31,160602,5740,2896,683,0,524,653
32,170501,4117,3215,143,0,268,316
33,140105,4099,2431,1224,0,15,270
34,170502,2430,2224,14,0,124,9
35,170601,5530,4443,177,32,139,474
36,170701,2099,1373,83,0,146,305
37,020303,4489,3390,432,8,345,191
38,091400,3244,446,1645,0,46,957
39,000503,2087,1580,54,18,279,43
40,000504,4959,3673,147,62,885,57
41,040401,2964,2431,159,0,228,0
42,040801,4449,2691,524,0,885,219
43,050101,5656,3273,129,72,386,256
44,050901,4587,2660,21,0,147,205
45,051101,7687,5045,220,0,414,200
46,060101,3763,3674,37,0,18,0
47,060301,3737,3523,16,0,17,116
48,060501,4249,3843,55,0,284,0
49,061101,2305,879,616,0,390,247
50,070101,7409,4527,149,0,2364,86
51,070402,2701,1024,334,21,1194,76
52,071101,3980,2180,529,27,755,225
53,080401,3040,596,1464,9,72,701
54,071201,3701,1985,629,27,413,398
55,080601,4022,1737,1098,51,815,234
56,080801,4679,1971,1339,0,460,736
57,081001,5005,1757,1122,0,1556,504
58,090901,3653,1314,465,39,979,780
59,091001,2821,1571,635,6,579,18
60,092101,7321,2203,1561,24,2846,629
61,100603,1912,1545,150,0,167,11
62,110103,6812,3774,2179,0,241,429
63,110201,2534,704,1351,0,21,317
64,110301,2656,1334,927,36,52,217
65,110403,4881,3035,1153,0,81,293
66,120103,1852,1513,66,0,125,47
67,120105,2696,2316,126,4,168,7
68,120201,3991,2477,712,11,200,406
69,110607,5675,5031,192,0,195,123
70,120104,2335,1788,249,0,94,132
71,120301,5326,2768,962,0,186,1112
72,130404,3394,2188,597,0,363,236
73,170702,5798,3927,348,0,540,376
74,180101,4992,4644,122,0,44,101
75,180301,2864,2754,22,0,61,17
76,980101,457,202,101,0,1,104
77,980300,380,238,79,15,21,27
78,980700,0,0,0,0,0,0
79,981000,0,0,0,0,0,0
80,981100,442,188,206,0,3,30
81,981201,0,0,0,0,0,0
82,981202,241,207,17,0,0,9
83,981300,413,329,7,0,29,0
84,981501,0,0,0,0,0,0
85,981502,0,0,0,0,0,0
86,020200,3584,3055,84,0,332,35
87,030300,5524,4423,390,4,490,83
88,061000,3158,2029,711,0,101,296
89,061200,4584,4062,47,1,368,0
90,090100,5026,367,3308,0,85,1004
91,090200,2348,289,1475,0,8,151
92,090700,3878,2967,325,0,296,173
93,091200,3375,1614,905,24,473,133
94,100300,4394,208,3662,0,118,118
95,101101,3592,66,3169,0,0,158
96,130300,4456,3876,217,0,240,115
97,140102,5779,2373,2692,0,209,325
98,140300,7750,1768,4291,0,43,1189
99,180400,2001,1671,54,0,24,72
100,981600,0,0,0,0,0,0
101,981700,0,0,0,0,0,0
102,981800,32,22,10,0,0,0
103,990101,67,49,18,0,0,0
104,000703,2020,1160,82,0,651,51
105,000704,4688,2221,415,0,1503,375
106,000803,5852,3613,461,7,1343,94
107,130406,6084,2225,3014,0,301,309
108,140106,2299,698,1276,0,51,174
109,140107,2912,1401,1129,22,0,167
110,080900,3586,2327,211,31,819,126
111,081400,2924,1267,1282,0,210,86
112,081800,3300,220,1925,0,17,744
113,090300,3095,474,1987,0,0,606
114,092300,3443,446,2725,21,31,161
115,160400,3276,1604,293,21,69,195
116,160200,4151,1919,63,0,47,335
117,170400,5041,3493,509,0,298,484
118,080100,2749,501,1405,65,45,655
119,120400,6511,5430,354,10,294,109
120,120700,2243,1540,224,47,263,131
121,140201,2454,1120,717,0,176,277
122,000402,3700,2835,64,0,473,153
123,000601,3798,2728,147,0,558,276
124,030200,1678,1521,24,0,90,13
125,030500,2492,2238,21,0,114,42
126,040200,1975,1313,305,0,170,32
127,050200,5713,2984,171,98,323,514
128,050300,2803,1819,332,9,266,99
129,050600,2481,1671,144,0,47,27
130,070300,4450,3482,62,0,529,160
131,070500,5843,3300,405,30,1128,797
132,070800,3597,2569,649,0,302,32
133,010103,3686,2361,119,3,944,122
134,010104,5004,3469,177,7,901,161
135,010204,3810,2634,109,27,817,74
136,010404,5135,3088,170,7,1373,153
137,010405,6008,3776,702,21,1016,211
138,010203,5596,3431,320,24,1276,132
139,010408,1497,976,191,0,259,37
140,010701,2383,1996,36,9,273,9
141,010403,2753,1600,325,26,528,237
142,010702,2579,2323,34,6,106,35
143,010801,3002,2690,106,4,164,7
144,010802,3238,2806,16,0,269,82
145,020101,4975,4560,54,0,155,34
146,020301,2130,1622,47,1,361,10
147,020302,1089,964,0,0,91,7
148,040600,3395,3004,177,0,97,29
149,051200,3033,2302,59,19,88,94
150,060800,4694,3961,1,0,540,172
151,070200,5373,2094,231,36,2847,21
152,082000,3421,492,2324,0,18,454
153,070600,2491,2074,122,0,194,22
154,081300,4885,1106,2150,0,111,1074
155,081900,3704,552,2522,0,0,297
156,091100,4818,2714,362,7,1199,163
157,100400,6040,1382,3392,7,498,429
158,000302,3447,2360,295,0,553,152
159,000701,4368,2999,365,47,735,81
160,010500,3413,2338,304,0,525,142
161,030400,2336,2199,15,0,41,62
162,050500,2278,1552,93,0,93,129
163,070700,2676,1748,500,0,253,9
164,081200,3712,1183,1431,0,192,695
165,081700,3990,228,2679,305,43,569
166,091900,4528,707,3250,0,0,306
167,100200,3328,361,2780,0,37,76
168,101002,6662,508,5592,0,181,204
169,110502,4740,3048,680,83,189,494
170,110601,2997,2469,54,0,254,38
171,130402,4762,3854,114,0,551,108
172,140400,9056,1077,6670,57,37,863
173,000201,4125,3172,187,0,355,201
174,000100,5884,3535,451,0,1247,527
175,000202,4461,3152,261,0,458,402
176,000301,3074,2212,291,0,266,238
177,000502,5540,4490,136,11,634,165
178,010300,5351,3995,299,0,753,102
179,050700,5607,3120,75,0,66,204
180,080300,2205,268,1565,21,53,127
181,080500,3600,501,1678,0,206,1143
182,081100,4116,2383,720,0,624,332
183,091600,3089,614,1165,0,960,301
184,100500,6623,1728,3822,0,589,265
185,100900,4684,1241,2487,127,405,302
186,110401,3807,1827,1384,33,118,350
187,091800,3579,210,2383,27,81,674
188,092000,5590,962,3535,31,616,313
189,100100,7013,717,5533,21,89,279
190,100601,6321,2545,2083,0,799,368
191,100700,4410,3988,111,0,228,10
192,101102,5265,362,4599,0,37,139
193,130200,5026,4402,133,10,224,91
194,060600,4162,3507,109,0,425,2
195,070900,3132,2000,694,0,206,151
196,092400,6413,751,4774,61,45,719
197,030100,2243,2132,0,13,42,56
198,000602,4158,2299,221,42,874,672
199,082100,5998,720,3492,0,0,1052
200,060200,2103,2071,10,0,5,13
201,090400,4396,297,3087,0,86,539
202,120500,2850,1556,316,13,205,626
203,101001,6014,282,5345,0,0,46
